"season","gsis_id","prev_season","games","pass_att","pass_comp","pass_yds","avg_pass_yds","sd_pass_yds","yac","pass_length","avg_pass_length","sd_pass_length","pass_tds","pass_int","fumbles","avg_pass_ydnorm_dvoa","avg_pass_yds_dvoa","sum_pass_yds_dvoa","avg_pass_ydnorm_voa","avg_pass_yds_voa","sum_pass_yds_voa","rush_att","rush_yds","avg_rush_yds","sd_rush_yds","rush_tds","avg_rush_ydnorm_dvoa","avg_rush_yds_dvoa","sum_rush_yds_dvoa","avg_rush_ydnorm_voa","avg_rush_yds_voa","sum_rush_yds_voa","rec","rec_yds","avg_rec_yds","sd_rec_yds","rec_tds","avg_rec_ydnorm_dvoa","avg_rec_yds_dvoa","sum_rec_yds_dvoa","avg_rec_ydnorm_voa","avg_rec_yds_voa","sum_rec_yds_voa","prev_yr_pts"
2010,"00-0000865",2009,1,2,1,17,8.5,12.0208152801713,2,18,9,8.48528137423857,0,0,0,0.599731355419873,1.34569884621002,2.69139769242004,0.576696706156944,1.98403062619634,3.96806125239267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
2010,"00-0002110",2009,3,30,15,93,3,5.80804040389987,97,61,1.96774193548387,13.0524170710964,0,1,1,0.421943592503406,-2.49008551986976,-77.1926511159625,0.382948165094141,-3.27347680112398,-101.477780834843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28
2010,"00-0003292",2009,7,216,119,1195,5.40723981900453,9.41646247423039,572,1742,7.88235294117647,9.0037722338197,6,8,6,0.460215266208906,-0.548614296702152,-121.243759571176,0.440845835429063,-0.858114407794914,-189.643284122676,9,15,1.66666666666667,15,1,0.372843876381264,-3.81939006755853,-34.3745106080268,0.34994145915112,-3.02513627139087,-27.2262264425178,0,0,0,0,0,0,0,0,0,0,0,63.3
2010,"00-0003315",2009,3,22,12,129,5.375,12.9910085962494,63,166,6.91666666666667,13.8968769299363,0,0,2,0.386958371836805,-1.46135471166218,-35.0725130798924,0.408615958276437,-0.812929180980471,-19.5103003435313,1,0,0,0,0,0.0645233010749783,-3.77777777777778,-3.77777777777778,0.228649988995468,-7.11363636363636,-7.11363636363636,0,0,0,0,0,0,0,0,0,0,0,1.16
2010,"00-0003739",2009,8,157,89,833,4.9,8.15649449008972,381,1307,7.68823529411765,12.0360593500546,3,6,5,0.461874553705433,-0.687017947850008,-116.793051134501,0.448248287314766,-1.1877266294728,-201.913527010376,17,92,5.41176470588235,92,0,0.552455937039652,1.53372440031731,26.0733148053943,0.502063832055033,0.997593293629998,16.95908599171,0,0,0,0,0,0,0,0,0,0,0,38.52
2010,"00-0004091",2009,1,1,1,10,10,0,8,2,2,0,0,0,0,0.239750061093477,-13,-13,0.678171737263256,4.33333333333333,4.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2010,"00-0004161",2009,11,316,178,1882,5.55162241887906,9.19445527016141,836,2925,8.6283185840708,11.4203141105405,13,18,8,0.458617949533912,-0.604125315454648,-204.798481939126,0.451721465677804,-0.755663028154337,-256.16976654432,12,64,5.33333333333333,64,0,0.590015760670554,1.60401876991799,19.2482252390158,0.516007196665221,0.646625655902111,7.75950787082534,0,0,0,0,0,0,0,0,0,0,0,107.68
2010,"00-0005106",2009,16,529,362,3972,7.0550621669627,10.53745168577,1949,4229,7.51154529307282,10.2749284535347,35,7,5,0.497446727301401,0.842406867831776,474.27506658929,0.492046319284316,0.854515297594496,481.092112545701,3,6,2,6,0,0.385592297812691,-1.77369820319946,-5.32109460959837,0.362295313242586,-2.47403026060048,-7.42209078180144,1,-2,-2,0,0,0.149904968734149,-8.93939393939394,-8.93939393939394,0.191162180072896,-7.9979035639413,-7.9979035639413,345.28
2010,"00-0007091",2009,14,488,293,2843,5.46730769230769,9.06702129719536,1713,3351,6.44423076923077,9.23138471528903,18,17,16,0.445791133153039,-0.974049068901593,-506.505515828828,0.447200304221434,-0.774814321860608,-402.903447367516,24,123,5.125,123,0,0.516480879610278,0.772741329584257,18.5457919100222,0.506464454537217,0.716291632962181,17.1909991910923,0,0,0,0,0,0,0,0,0,0,0,168.02
2010,"00-0008484",2009,1,1,0,0,0,0,0,9,9,0,0,0,0,1,0,0,0.225863434961608,-10.1666666666667,-10.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
