"playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush1st","rush40","rec1st","rec40","returnYds","returnTds","twoPts","rush100","rush150","rush200","regTds","season"
2535890,1,4,0,7,52,0.5,0.2,-1,"Travaris Cadet","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2536044,6,23,0.6,4,62,0.3,0,-1,"Jamize Olawale","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539217,12,49,0.2,4,32,0,0.1,-1,"Andre Ellington","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539265,80,302,2.5,12,106,0.5,1.6,-1,"Rex Burkhead","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539289,46,159,1,14,109,0.7,2.1,-1,"Kenjon Barner","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539303,3,7,0.2,1,14,0.2,0,-1,"Zach Line","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539315,3,10,0,0,0,0,0.2,-1,"Stepfan Taylor","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539663,167,750,8.3,12,91,1.1,1.4,-1,"Mike Gillislee","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2539980,44,248,1.8,7,50,0.3,1.5,-1,"Kerwynn Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540011,64,269,2,49,357,2,1.5,-1,"Chris Thompson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540020,94,342,2.3,50,377,3.2,0.9,-1,"Theo Riddick","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540037,8,37,0.1,4,30,0,0.2,-1,"Fozzy Whittaker","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540156,84,325,1.8,29,244,0.5,1.9,-1,"Giovani Bernard","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540168,146,646,3.2,17,148,0.8,1.1,-1,"Eddie Lacy","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540175,310,1335,9.1,83,648,1.9,2.2,-1,"LeVeon Bell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540178,8,18,0.1,2,11,0,0.1,-1,"Knile Davis","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540204,139,577,3.3,22,266,1.4,2.8,-1,"Spencer Ware","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540230,5,23,1,26,207,1,0,-1,"Kyle Juszczyk","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2540269,175,673,5.4,32,247,1.1,1.8,-1,"C.J. Anderson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2541161,133,458,4.9,25,164,0.4,2.4,-1,"Latavius Murray","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2541544,5,31,0,4,34,0,0.2,-1,"Benny Cunningham","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2542022,17,69,0.6,3,20,0,0.6,-1,"Khiry Robinson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543551,4,18,0.1,1,6,0,0.1,-1,"KaDeem Carey","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
