"trim_name","position","stdev","adp"
"ELIMANNING","QB",13.2,"156.5"
"EMMANUELSANDERS","WR",8,"83"
"EQUANIMEOUSSTBROWN","WR",20,"318.5"
"ERICDECKER","WR",14.8,"155.1"
"ERICEBRON","TE",20,"195.3"
"EVANENGRAM","TE",8.5,"68.4"
"EZEKIELELLIOTT","RB",1.1,"2.9"
"FRANKGORE","RB",18.2,"157.5"
"GARRETTCELEK","TE",20,"275.0"
"GEOFFSWAIM","TE",20,"260.0"
"GEORGEKITTLE","TE",15.3,"121.9"
"GERALDEVERETT","TE",20,"306.7"
"GERONIMOALLISON","WR",13,"152.3"
"GIOVANIBERNARD","RB",14.9,"150.7"
"GOLDENTATE","WR",6.1,"64.6"
"GRAHAMGANO","K",20,"252.5"
"GREENBAYPACKERS","DST",20,"217.0"
"GREGOLSEN","TE",6.4,"60.6"
"GREGZUERLEIN","K",20,"135.8"
"HARRISONBUTKER","K",20,"184.2"
"HAYDENHURST","TE",19.3,"156.5"
"HOUSTONTEXANS","DST",20,"146.0"
"IANTHOMAS","TE",20,"320.0"
"ISAIAHCROWELL","RB",9,"79"
"ITOSMITH","RB",20,"312.7"
"JACKDOYLE","TE",21,"141.5"
"JACKSONVILLEJAGUARS","DST",20,"88.5"
"JACOBYBRISSETT","QB",20,"305.0"
"JACQUIZZRODGERS","RB",20,"311.0"
"JAKEBUTT","TE",20,"234.0"
"JAKEELLIOTT","K",20,"185.0"
"JAKEKUMEROW","WR",20,"303.0"
"JALENRICHARD","RB",20,"303.0"
"JAMAALWILLIAMS","RB",9.1,"71.9"
"JAMEISWINSTON","QB",12.5,"158.7"
"JAMESCONNER","RB",26.5,"157.5"
"JAMESWASHINGTON","WR",20,"218.0"
"JAMESWHITE","RB",20,"149.0"
"JAMISONCROWDER","WR",8.3,"102.6"
"JAREDCOOK","TE",20,"181.5"
"JAREDGOFF","QB",12.8,"121.2"
"JARONBROWN","WR",20,"261.7"
"JARVIONFRANKLIN","RB",20,"355.0"
"JARVISLANDRY","WR",6,"52.7"
"JAVORIUSALLEN","RB",20,"210.7"
"JAYAJAYI","RB",4.7,"32.7"
"JAYLENSAMUELS","TE",20,"279.0"
"JDMCKISSIC","RB",20,"316.0"
"JEFFHEUERMAN","TE",20,"309.0"
"JEREMYHILL","RB",16.9,"158.2"
"JEREMYMCNICHOLS","RB",20,"222.0"
"JERICKMCKINNON","RB",3.9,"25.7"
"JERMAINEKEARSE","WR",20,"277.3"
"JESSEJAMES","TE",20,"284.0"
"JIMMYGAROPPOLO","QB",12.7,"100.2"
"JIMMYGRAHAM","TE",6.2,"52.2"
"JJNELSON","WR",20,"317.0"
"JMONMOORE","WR",20,"266.3"
"JOEFLACCO","QB",20,"222.3"
"JOEMIXON","RB",2.6,"18.2"
"JOEWILLIAMS","RB",20,"296.3"
"JOHNBROWN","WR",16.3,"157.7"
"JOHNKELLY","RB",20,"245.3"
"JOHNROSS","WR",14.3,"165.1"
"JONATHANSTEWART","RB",20,"266.3"
"JONATHANWILLIAMS","RB",20,"286.0"
"JONNUSMITH","TE",20,"305.0"
"JORDANAKINS","TE",20,"286.5"
"JORDANHOWARD","RB",2.4,"15.4"
"JORDANLASLEY","WR",20,"290.0"
"JORDANREED","TE",11.1,"89.2"
"JORDANWILKINS","RB",18.7,"150.5"
"JORDYNELSON","WR",9.6,"77.4"
"JOSHADAMS","RB",20,"294.5"
"JOSHALLEN","QB",20,"228.7"
"JOSHDOCTSON","WR",16.6,"146"
"JOSHGORDON","WR",6.2,"48.8"
"JOSHLAMBO","K",20,"218.5"
"JOSHMALONE","WR",20,"353.0"
"JOSHMCCOWN","QB",20,"278.7"
"JOSHROSEN","QB",20,"217.3"
"JUJUSMITHSCHUSTER","WR",4.4,"40.4"
"JULIANEDELMAN","WR",8.8,"82.8"
"JULIOJONES","WR",1.8,"14.5"
"JUSTINJACKSON","RB",20,"294.7"
"JUSTINTUCKER","K",20,"151.4"
"JUSTINWATSON","WR",20,"337.0"
"KAIFORBATH","K",20,"230.6"
"KAIMIFAIRBAIRN","K",20,"227.0"
"KALENBALLAGE","RB",20.2,"155.2"
"KANSASCITYCHIEFS","DST",20,"212.3"
"KAREEMHUNT","RB",1.7,"10.3"
"KEELANCOLE","WR",19.6,"161"
"KEENANALLEN","WR",2.5,"20.2"
"KEKECOUTEE","WR",20,"235.0"
"KELVINBENJAMIN","WR",9.8,"99.1"
